1.770648100000000000e+07,1.195303200000000000e+07,3.000000000000000000e+00,7.000000000000000000e+00
1.776999600000000000e+07,1.268572200000000000e+07,6.000000000000000000e+00,1.100000000000000000e+01
1.651941700000000000e+07,1.177902700000000000e+07,3.000000000000000000e+00,2.000000000000000000e+00
1.744961000000000000e+07,1.269812400000000000e+07,1.000000000000000000e+01,2.000000000000000000e+00
1.775629900000000000e+07,1.248115000000000000e+07,5.000000000000000000e+00,1.000000000000000000e+01
1.826312100000000000e+07,1.262680300000000000e+07,2.000000000000000000e+00,3.000000000000000000e+00
1.867731500000000000e+07,1.194177900000000000e+07,1.000000000000000000e+01,6.000000000000000000e+00
1.847182500000000000e+07,1.255331400000000000e+07,7.000000000000000000e+00,5.000000000000000000e+00
1.870365800000000000e+07,1.233929200000000000e+07,4.000000000000000000e+00,5.000000000000000000e+00
1.760039500000000000e+07,1.262297400000000000e+07,9.000000000000000000e+00,6.000000000000000000e+00
1.754097900000000000e+07,1.233929200000000000e+07,4.000000000000000000e+00,5.000000000000000000e+00
1.889509200000000000e+07,1.208266400000000000e+07,3.000000000000000000e+00,7.000000000000000000e+00
1.759795000000000000e+07,1.262680300000000000e+07,2.000000000000000000e+00,5.000000000000000000e+00
1.736828700000000000e+07,1.262055900000000000e+07,3.000000000000000000e+00,2.000000000000000000e+00
1.871622800000000000e+07,1.248115000000000000e+07,5.000000000000000000e+00,1.100000000000000000e+01
