1.913071100000000000e+07,1.244626800000000000e+07,1.100000000000000000e+01
1.944595400000000000e+07,1.287026200000000000e+07,1.100000000000000000e+01
1.922235300000000000e+07,1.273900100000000000e+07,1.100000000000000000e+01
1.850466400000000000e+07,1.245688900000000000e+07,1.100000000000000000e+01
1.833769400000000000e+07,1.233529700000000000e+07,1.100000000000000000e+01
1.864768200000000000e+07,1.268419100000000000e+07,1.100000000000000000e+01
1.860546100000000000e+07,1.265828600000000000e+07,1.100000000000000000e+01
1.913874800000000000e+07,1.274053100000000000e+07,1.100000000000000000e+01
1.811466500000000000e+07,1.240431200000000000e+07,1.100000000000000000e+01
1.931891300000000000e+07,1.273900100000000000e+07,1.100000000000000000e+01
1.902651700000000000e+07,1.272452400000000000e+07,1.100000000000000000e+01
1.886086800000000000e+07,1.274069200000000000e+07,1.100000000000000000e+01
1.808805100000000000e+07,1.219596400000000000e+07,1.100000000000000000e+01
1.943520700000000000e+07,1.272417300000000000e+07,1.100000000000000000e+01
1.886086800000000000e+07,1.245134700000000000e+07,1.100000000000000000e+01
