,T_flue_gas_reactor_in,T_cao_reactor_in,T_water_reactor_in,flue_gas_composition,deconbonized_rate,T_carb,p_amb,T_amb,T_delta_pinch,T_flue_gas_in,p_flue_gas_in,T_decarbonized_flue_gas_out,T_water_reactor_out,p_carb,p_water,cao_conversion,deconbonized_flue_gas_composition,m_flue_gas_in,m_water_in,m_co2_capture,m_cao_in,m_deconbonized_flue_gas_out,m_cao_unr_out,m_caco3_out,p_flue_gas_compressor_out,T_flue_gas_compressor_out,flue_gas_compressor_power,Q_hot_water,conveying_power,hot_utility,cold_utility,cooling_power,total_auxiliary_power,plant_eff
Tcarb=630_Tw=80_X=0.3,383.95836095594,614.9986685363607,45.86955942271583,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,80,105546.875,101325,0.3,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.487148962824905,0.345214831295379,1.464547769131911,1.6438565908159313,1.0251834383923377,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1377537.5683440927,-32743.103695592014,99.90791015992784,26161.48499999999,-209.29187999999994,-49473.964157826704,0.9863766353147261
Tcarb=630_Tw=150_X=0.3,608.4600883413931,614.9999989325083,63.4533133177194,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,150,105546.875,101325,0.3,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5116207437068513,0.345214831295379,1.464547769131911,1.6438565908159313,1.0251834383923377,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1377537.9913194175,-32743.103695592014,99.98771216393543,26161.485000000008,-209.29188000000008,-49473.964157826704,0.9863769381834008
Tcarb=630_Tw=80_X=0.4,283.1699363695103,615.0,55.1105206432522,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,80,105546.875,101325,0.4,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.5087070479902165,0.345214831295379,1.0984108268489332,1.6438565908159313,0.6590464961093598,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1382949.6817053254,-25420.364849932455,97.6184633678372,21156.344999999943,-169.25075999999956,-42111.184192167144,0.9902519431755575
Tcarb=630_Tw=150_X=0.4,598.781345639497,614.9998226896773,73.5147943296168,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,150,105546.875,101325,0.4,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5136316055648961,0.345214831295379,1.0984108268489332,1.6438565908159313,0.6590464961093598,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1382952.233487712,-25420.364849932455,99.9793038838277,21156.344999999998,-169.25075999999999,-42111.184192167144,0.9902537703624034
Tcarb=630_Tw=80_X=0.5,530.3650835876862,614.9995713278396,31.69374922969727,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,80,105546.875,101325,0.5,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.521654128890646,0.345214831295379,0.8787286614791466,1.6438565908159313,0.4393643307395733,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1386200.0199887517,-21026.72154253672,99.92182409067141,18153.254999999972,-145.22603999999978,-37693.51616477141,0.9925793263361452
Tcarb=630_Tw=150_X=0.5,595.3149561986336,614.9992507032537,77.02318366356347,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,150,105546.875,101325,0.5,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5148378886564783,0.345214831295379,0.8787286614791466,1.6438565908159313,0.4393643307395733,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1386200.1486814965,-21026.72154253672,99.97501115591945,18153.255,-145.22604,-37693.51616477141,0.9925794184857312
Tcarb=660_Tw=80_X=0.2,584.08629938801,644.9999769436752,29.698898755748846,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,80,105546.875,101325,0.2,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.442834684445411,0.345214831295379,2.1968216536978664,1.6438565908159313,1.757457322958293,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1366412.5590368216,-47388.581386911115,99.98377530817493,36296.505,-290.37203999999997,-64200.52200914581,0.9784106462190225
Tcarb=660_Tw=150_X=0.2,620.8606641370216,644.9998749050047,84.34995266570621,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,150,105546.875,101325,0.2,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5074887360018788,0.345214831295379,2.1968216536978664,1.6438565908159313,1.757457322958293,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1366412.5675283808,-47388.581386911115,99.97499914524788,36296.505,-290.37203999999997,-64200.52200914581,0.9784106522993471
Tcarb=660_Tw=80_X=0.3,576.7550502506582,644.9999797786946,30.338770412077327,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,80,105546.875,101325,0.3,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.486174667330054,0.345214831295379,1.464547769131911,1.6438565908159313,1.0251834383923377,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1377292.9734450083,-32743.103695592014,99.97728208598744,26268.704999999987,-210.1496399999999,-49474.82191782671,0.986201494760219
Tcarb=660_Tw=150_X=0.3,641.4490824337691,644.9999737904025,61.641991492949266,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,150,105546.875,101325,0.3,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5115297475469888,0.345214831295379,1.464547769131911,1.6438565908159313,1.0251834383923377,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1377292.9843121439,-32743.103695592014,99.99102671680049,26268.705,-210.14964,-49474.82191782671,0.9862015025415594
Tcarb=660_Tw=80_X=0.4,496.1298816992265,645.0,38.179395921116736,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,80,105546.875,101325,0.4,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.507845975428504,0.345214831295379,1.0984108268489332,1.6438565908159313,0.6590464961093598,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1382733.51119294,-25420.364849932455,99.76706557283421,21254.805000000015,-170.03844000000012,-42111.97187216715,0.9900971557145395
Tcarb=660_Tw=150_X=0.4,620.0909759848884,645.0,84.24013758990111,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,150,105546.875,101325,0.4,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5135504809061532,0.345214831295379,1.0984108268489332,1.6438565908159313,0.6590464961093598,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1382733.8054805882,-25420.364849932455,99.98703382075469,21254.804999999997,-170.03843999999998,-42111.97187216715,0.9900973664372573
Tcarb=660_Tw=80_X=0.5,573.3321374520831,644.9999998777727,30.602313597327658,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,80,105546.875,101325,0.5,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.520850889292028,0.345214831295379,0.8787286614791466,1.6438565908159313,0.4393643307395733,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1385998.3683239298,-21026.72154253672,99.94458705388354,18246.479999999985,-145.97183999999987,-37694.26196477142,0.9924349349995868
Tcarb=660_Tw=150_X=0.5,609.2333879714597,645.0,95.552736691172,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,660,101325,20,15,40,101325,40,150,105546.875,101325,0.5,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5147628695829104,0.345214831295379,0.8787286614791466,1.6438565908159313,0.4393643307395733,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1385998.15995218,-21026.72154253672,99.74610903089776,18246.480000000007,-145.97184000000007,-37694.26196477142,0.992434785796378
