1.655514300000000000e+07,1.290813100000000000e+07
1.809537800000000000e+07,1.289756200000000000e+07
1.632516600000000000e+07,1.290830200000000000e+07
1.628523400000000000e+07,1.290935100000000000e+07
1.641057500000000000e+07,1.291829300000000000e+07
1.609651000000000000e+07,1.291840300000000000e+07
1.705303600000000000e+07,1.291872400000000000e+07
1.974629200000000000e+07,1.291696100000000000e+07
1.755689500000000000e+07,1.287764600000000000e+07
1.688555100000000000e+07,1.290112900000000000e+07
1.653818500000000000e+07,1.290842800000000000e+07
1.666114500000000000e+07,1.290243600000000000e+07
1.763368700000000000e+07,1.291780300000000000e+07
1.735464800000000000e+07,1.288734000000000000e+07
1.606450800000000000e+07,1.291880400000000000e+07
1.869377000000000000e+07,1.291792900000000000e+07
1.635878400000000000e+07,1.291475800000000000e+07
1.903175900000000000e+07,1.291893400000000000e+07
1.794283300000000000e+07,1.287750300000000000e+07
1.767952200000000000e+07,1.291828900000000000e+07
1.714118600000000000e+07,1.291708800000000000e+07
1.769365100000000000e+07,1.290374500000000000e+07
1.979177100000000000e+07,1.291737100000000000e+07
1.778544800000000000e+07,1.288913500000000000e+07
1.641889500000000000e+07,1.290327200000000000e+07
1.891078300000000000e+07,1.290842800000000000e+07
1.635883100000000000e+07,1.291456200000000000e+07
1.830961300000000000e+07,1.291884400000000000e+07
1.625019200000000000e+07,1.291880400000000000e+07
1.866803800000000000e+07,1.291760500000000000e+07
1.647678800000000000e+07,1.289605400000000000e+07
1.802431300000000000e+07,1.290838200000000000e+07
1.725247100000000000e+07,1.291484800000000000e+07
1.906157700000000000e+07,1.291718600000000000e+07
1.866803800000000000e+07,1.291792600000000000e+07
1.625194600000000000e+07,1.291881400000000000e+07
1.700062800000000000e+07,1.291879300000000000e+07
1.605154300000000000e+07,1.291765600000000000e+07
1.937631100000000000e+07,1.291715900000000000e+07
1.802431300000000000e+07,1.290838200000000000e+07
1.767758800000000000e+07,1.287607800000000000e+07
1.947790300000000000e+07,1.291715900000000000e+07
1.658827000000000000e+07,1.290087700000000000e+07
1.927832700000000000e+07,1.291715700000000000e+07
1.600000000000000000e+07,1.291894800000000000e+07
1.776951000000000000e+07,1.291484800000000000e+07
1.612399800000000000e+07,1.291849200000000000e+07
1.609651000000000000e+07,1.291840300000000000e+07
1.670885100000000000e+07,1.291628900000000000e+07
1.787185300000000000e+07,1.291006300000000000e+07
1.647054500000000000e+07,1.291801300000000000e+07
1.859140800000000000e+07,1.291685200000000000e+07
1.808965100000000000e+07,1.291717800000000000e+07
1.891078300000000000e+07,1.291705500000000000e+07
1.825238400000000000e+07,1.291906400000000000e+07
1.877293300000000000e+07,1.291801300000000000e+07
1.817226100000000000e+07,1.291748400000000000e+07
1.660698200000000000e+07,1.289759300000000000e+07
1.763368700000000000e+07,1.291780300000000000e+07
1.628728300000000000e+07,1.290935100000000000e+07
1.695720400000000000e+07,1.290791000000000000e+07
1.612399800000000000e+07,1.291849200000000000e+07
1.658040700000000000e+07,1.290092700000000000e+07
1.750305400000000000e+07,1.290869600000000000e+07
1.693571300000000000e+07,1.291491900000000000e+07
1.677957000000000000e+07,1.291801300000000000e+07
1.614729100000000000e+07,1.290979100000000000e+07
1.700062800000000000e+07,1.291628900000000000e+07
1.670885100000000000e+07,1.291628900000000000e+07
1.906397500000000000e+07,1.291612800000000000e+07
1.729345600000000000e+07,1.291880400000000000e+07
1.713932900000000000e+07,1.290811400000000000e+07
1.651826900000000000e+07,1.291836300000000000e+07
1.679606800000000000e+07,1.291801300000000000e+07
1.621826700000000000e+07,1.291836300000000000e+07
1.740809400000000000e+07,1.291617400000000000e+07
1.620369200000000000e+07,1.291845100000000000e+07
1.600599500000000000e+07,1.291488700000000000e+07
1.729010600000000000e+07,1.289756200000000000e+07
1.817408200000000000e+07,1.283133000000000000e+07
1.707229700000000000e+07,1.291491500000000000e+07
1.663744100000000000e+07,1.289718900000000000e+07
1.603037600000000000e+07,1.291845100000000000e+07
1.674410600000000000e+07,1.291717800000000000e+07
1.844730800000000000e+07,1.290367600000000000e+07
1.616850900000000000e+07,1.291860600000000000e+07
1.682818900000000000e+07,1.290865700000000000e+07
1.780536100000000000e+07,1.291629700000000000e+07
1.698395300000000000e+07,1.291491500000000000e+07
1.756859400000000000e+07,1.291880400000000000e+07
1.719962500000000000e+07,1.291475900000000000e+07
1.688555100000000000e+07,1.290112900000000000e+07
1.725247100000000000e+07,1.291484800000000000e+07
1.686247800000000000e+07,1.291735000000000000e+07
1.730560400000000000e+07,1.290824000000000000e+07
1.839388700000000000e+07,1.291892000000000000e+07
1.747741100000000000e+07,1.291730600000000000e+07
1.901281600000000000e+07,1.291894800000000000e+07
1.674410600000000000e+07,1.291693500000000000e+07
1.650017000000000000e+07,1.291809500000000000e+07
