1.937695300000000000e+07,1.289021700000000000e+07,1.000000000000000000e+01
1.894179900000000000e+07,1.237460000000000000e+07,1.000000000000000000e+01
1.924541700000000000e+07,1.238613700000000000e+07,1.000000000000000000e+01
1.816790600000000000e+07,1.234373700000000000e+07,1.000000000000000000e+01
1.851804000000000000e+07,1.216549500000000000e+07,1.000000000000000000e+01
1.724331400000000000e+07,1.221449900000000000e+07,1.000000000000000000e+01
1.833536000000000000e+07,1.236814800000000000e+07,1.000000000000000000e+01
1.943213500000000000e+07,1.286346100000000000e+07,1.100000000000000000e+01
1.907039700000000000e+07,1.248268600000000000e+07,1.000000000000000000e+01
1.873822700000000000e+07,1.238021500000000000e+07,1.000000000000000000e+01
1.751743800000000000e+07,1.216549500000000000e+07,1.000000000000000000e+01
1.724331400000000000e+07,1.198276900000000000e+07,1.000000000000000000e+01
1.757716800000000000e+07,1.215938800000000000e+07,1.000000000000000000e+01
1.816790600000000000e+07,1.234373700000000000e+07,1.000000000000000000e+01
1.795172200000000000e+07,1.211286700000000000e+07,1.000000000000000000e+01
1.795172200000000000e+07,1.230879600000000000e+07,1.000000000000000000e+01
1.937769600000000000e+07,1.266253800000000000e+07,1.000000000000000000e+01
1.862382600000000000e+07,1.238021500000000000e+07,1.000000000000000000e+01
1.912705200000000000e+07,1.286492700000000000e+07,1.000000000000000000e+01
1.943213500000000000e+07,1.286492700000000000e+07,1.100000000000000000e+01
